probe_id,kind,s_mm,s_node_mm,s_from_lesion_mm,tree_node,x,y,z,normal_x,normal_y,normal_z,r_ref_mm,resolved
inlet,inlet,0.0,0.0,-19.712737527771008,0,20.6123046875,-141.0107421875,134.4499969482422,0.9454466333806835,0.2763828809274975,0.17246207281413467,1.0821926768686365,1
p000,grid,0.0,0.0,-19.712737527771008,33,31.16642189025879,-140.09561157226562,132.9499969482422,0.9399116321720405,-0.13339813288727556,-0.314278637278895,1.2445215783989318,1
p001,grid,5.0,4.973716407783504,-14.712737527771008,45,34.9384765625,-143.13650512695315,132.2869873046875,0.7630357916540924,-0.5161633827713789,-0.3890395133412795,1.2445215783989318,1
p002,lesion_prox,9.712737527771008,9.574115211153062,-10.0,55,38.1220703125,-145.74737548828125,130.2754669189453,0.6293481034496236,-0.578269876750944,-0.5191578895931468,1.2445215783989318,1
p003,grid,15.0,15.238562795986343,-4.712737527771009,65,41.30566406250001,-148.5004425048828,126.50933837890626,0.5369336133830138,-0.45271176049135387,-0.7118668110905855,1.219149261475949,1
p004,throat,19.712737527771008,19.712737527771008,0.0,73,43.53410720825195,-149.9331817626953,122.95011138916016,0.41055524042352165,-0.3932599947911303,-0.8226730645023359,1.1528802008655883,1
p005,grid,25.0,25.003181586882654,5.287262472228993,82,45.452716827392585,-152.7900390625,118.95152282714844,0.3833263012408427,-0.5111235108701448,-0.7692942892110871,1.0745209996662317,1
p006,lesion_dist,29.71273752777101,29.76992900337497,10.000000000000002,90,47.6728515625,-155.3369140625,115.6244125366211,0.3772493301446202,-0.5576814452283209,-0.7393742953021066,1.003918510404082,1
p007,grid,35.0,34.85468125145302,15.287262472228996,100,49.93196105957031,-158.52050781250003,112.40042114257812,0.4489265236211831,-0.6425172973840697,-0.6209963759569537,0.9286059052608884,1
p008,grid,40.0,39.92696093193054,20.287262472228992,110,51.81256866455079,-161.7041015625,108.94999694824219,0.35595063516071074,-0.6454412027167843,-0.6757993778956869,0.8534780370553061,1
p009,bif_prox,41.354808931104344,41.44671396917051,21.642071403333336,113,52.44719696044922,-162.65806579589844,107.9516372680664,0.41759789133433267,-0.6277272142610495,-0.6569402907640703,0.8309682755517667,1
p010,bif_dist,44.588340380321455,44.721672863633,24.875602852550443,163,53.307071685791016,-164.88050842285156,105.78851318359375,0.12819792321326653,-0.7308547639572646,-0.6703854163723854,0.9296402916499183,1
p011,measurement,49.89174407176872,49.89174407176872,30.17900654399771,175,54.13552474975586,-168.7080078125,102.44835662841797,0.15255270822324352,-0.7286071698830081,-0.6677269376091002,0.9296402916499183,1
p012,grid,55.0,55.19126806981834,35.28726247222899,185,54.613887786865234,-171.8916015625,98.27558135986328,0.16525706352535358,-0.6181197316986861,-0.7685168184494868,0.9296402916499183,1
p013,grid,60.0,60.050646856468624,40.28726247222899,193,56.15742492675781,-174.4384765625,94.45011138916016,0.2839402828300223,-0.5150111256680387,-0.8087901187728164,0.9296402916499183,1
p014,grid,65.0,65.11589834139403,45.287262472228996,202,57.2948112487793,-177.3037109375,90.44988250732422,0.2577678601779937,-0.5342717652949872,-0.8050524275274478,0.9296402916499183,1
p015,grid,70.0,69.8790005154471,50.287262472228996,210,57.46976470947266,-179.8495330810547,86.44999694824219,-0.04001004165806309,-0.5362374779393655,-0.8431183569462526,0.9296402916499183,1
p016,grid,75.0,74.85856542692198,55.28726247222899,219,57.23298645019531,-181.87171936035156,81.94999694824219,-0.12493815170785837,-0.2956394296196186,-0.9470943912314184,0.9222806568892472,1
p017,grid,80.0,80.1106631300996,60.287262472228996,229,58.177738189697266,-182.92416381835938,76.94999694824219,0.24989290486671323,-0.12869765269491648,-0.9596824736797555,0.9065527795365659,1
p018,grid,85.0,84.77800925939133,65.28726247222899,238,59.21529769897461,-183.55992126464844,72.4499969482422,0.2547343981605784,-0.13243421335016717,-0.9578995592065435,0.8925759931870662,1
p019,grid,90.0,90.15122271172498,70.28726247222899,248,61.11609649658203,-183.86996459960938,67.44999694824219,0.3684538360627452,-0.0987445842929047,-0.9243869740338562,0.8764854238671254,1
p020,grid,95.0,94.8200394751788,75.287262472229,257,61.13174057006836,-183.88755798339847,62.94999694824219,-0.27224989809563355,-0.13173139763082056,-0.9531667387530619,0.8625042335718045,1
p021,grid,100.0,99.9591306281993,80.287262472229,267,60.72663116455079,-184.45750427246094,57.94999694824219,4.814021212336509e-05,0.08606456449402437,-0.9962895605299565,0.8471147644630987,1
p022,grid,105.0,105.04864614616704,85.28726247222897,277,61.21234893798828,-184.72222900390625,52.94999694824219,-0.07232208606208343,-0.05906696158163964,-0.9956307598287338,0.8318737540373531,1
p023,grid,110.0,110.19285470804883,90.28726247222899,287,60.87546920776368,-183.9903106689453,47.964805603027344,0.09595555970781039,0.27027101259855707,-0.9579906629556008,0.8164689603891048,1
out_160,outlet,,74.63403047622907,,160,66.4560546875,-166.1611328125,92.94999694824219,0.7728769723003204,0.322419031362948,-0.5465410816241248,0.6469259151503007,0
out_425,outlet,,76.29559202070573,,425,73.42113494873047,-144.94937133789062,88.45011138916016,0.5214516689827096,-0.03405575864036376,-0.8526009396069042,0.6054294167717015,0
out_600,outlet,,130.8344921461036,,600,58.10655975341797,-178.5771484375,42.01109313964844,-0.4995777958800777,0.7870965106185497,-0.36180258268247173,0.6006501225554999,0
out_639,outlet,,43.46523444353385,,639,45.753265380859375,-122.65695190429688,116.27558135986328,0.8268062143065518,0.17398898318454786,-0.5349012223901489,0.6185658715941345,0
out_742,outlet,,94.10191921041779,,742,66.4560546875,-124.7744140625,78.44999694824219,0.46375182262440806,-0.2013021229398195,-0.862792966077298,0.6497072929531458,0
out_868,outlet,,104.21074551594843,,868,57.8603515625,-119.0439453125,68.44999694824219,0.9947482233268271,0.09816442880138654,-0.028977872700019013,0.6732302910434911,1
