id	slug	source_pdf	bucket_primary	bucket_raw	verdict	ledger_status	triaged_on
001	wang-2024-guidewire-ffrct	Resources/011905_1_5.0180162.pdf	METHOD	METHOD	LIGHT	TRIAGED	2026-09-17
002	amlani-2025-hemodynamics-fourier	Resources/071921_1_5.0273041.pdf	BACKGROUND	BACKGROUND	LIGHT	TRIAGED	2026-09-17
003	li-2024-dpnn-lpm	Resources/1-s2.0-S0010482524005602-main.pdf	METHOD	METHOD	FULL	TRIAGED	2026-09-17
004	lotfi-2025-pod-coronary	Resources/1-s2.0-S0010482525001908-main.pdf	METHOD	METHOD	LIGHT	TRIAGED	2026-09-17
005	franz-2025-mitral-rom	Resources/1-s2.0-S0010482525011898-main.pdf	IRRELEVANT	IRRELEVANT	LIGHT	TRIAGED	2026-09-17
006	han-2020-aneurysm-rom	Resources/1-s2.0-S0021929020300609-main.pdf	IRRELEVANT	IRRELEVANT	LIGHT	TRIAGED	2026-09-17
007	gosling-2020-sidebranch-ffr	Resources/1-s2.0-S0021929020301147-main.pdf	SUPPORT	SUPPORT	FULL	TRIAGED	2026-09-17
008	chatpattanasiri-2023-rpod-aorta	Resources/1-s2.0-S0021929023003299-main.pdf	IRRELEVANT	IRRELEVANT	LIGHT	TRIAGED	2026-09-17
009	feng-2022-reduced-order-ffr	Resources/1-s2.0-S004578252200500X-main.pdf	METHOD	METHOD	LIGHT	TRIAGED	2026-09-17
010	yang-2026-cmd-angiography	Resources/1-s2.0-S0045782526000174-main.pdf	BACKGROUND	BACKGROUND	LIGHT	TRIAGED	2026-09-17
011	conte-2020-ffrct-perfusion-review	Resources/1-s2.0-S0167527319300129-main.pdf	BACKGROUND	BACKGROUND	LIGHT	TRIAGED	2026-09-17
012	lee-2022-ffr-gray-zone-ai	Resources/1-s2.0-S0169260722002097-main.pdf	METHOD	METHOD	LIGHT	TRIAGED	2026-09-17
013	choi-2025-reduced-order-pulsatile	Resources/1-s2.0-S0169260725004110-main.pdf	METHOD	METHOD	LIGHT	TRIAGED	2026-09-17
014	mirota-2026-ffr-cnbp-boundary	Resources/1-s2.0-S0169260726002038-main.pdf	SUPPORT	SUPPORT	FULL	TRIAGED	2026-09-17
015	moshage-2026-ct-ffr-slice-thickness	Resources/1-s2.0-S0720048X26002329-main.pdf	SUPPORT	SUPPORT	LIGHT	TRIAGED	2026-09-17
016	naniwa-2026-ct-mu-fr-stents	Resources/1-s2.0-S0720048X2600553X-main.pdf	SUPPORT	SUPPORT	LIGHT	TRIAGED	2026-09-17
017	aich-2025-cerebral-hemodynamic-pod	Resources/1-s2.0-S073519332501259X-main.pdf	METHOD	METHOD	LIGHT	TRIAGED	2026-09-17
018	tian-2025-vestreeformer-vffr	Resources/1-s2.0-S0895611125000734-main.pdf	METHOD	METHOD	LIGHT	TRIAGED	2026-09-17
019	alabdullah-2026-ffr-ct-meta	Resources/1-s2.0-S0899707125002591-main.pdf	BACKGROUND	BACKGROUND | SUPPORT	LIGHT	TRIAGED	2026-09-17
020	tiotsop-2026-ai-ccta-meta	Resources/1-s2.0-S0899707126001981-main.pdf	BACKGROUND	BACKGROUND | METHOD	LIGHT	TRIAGED	2026-09-17
021	shergill-2026-concord-protocol	Resources/1-s2.0-S1097664725001012-main.pdf	BACKGROUND	BACKGROUND	LIGHT	TRIAGED	2026-09-17
022	mahmoudi-2020-forecast-protocol	Resources/1-s2.0-S155383891930805X-main.pdf	BACKGROUND	BACKGROUND	LIGHT	TRIAGED	2026-09-17
023	yi-2020-stress-perfusion-mbf	Resources/1-s2.0-S193459251930173X-main.pdf	METHOD	METHOD | BACKGROUND	LIGHT	TRIAGED	2026-09-17
024	yi-2020-stress-perfusion-absolute	Resources/1-s2.0-S1934592519305829-main.pdf	METHOD	METHOD | BACKGROUND	LIGHT	TRIAGED	2026-09-17
025	anastasius-2020-ffrct-age	Resources/1-s2.0-S1934592520304147-main.pdf	BACKGROUND	BACKGROUND	LIGHT	TRIAGED	2026-09-17
026	rodriguez-lozano-2025-ct-ffr-critical	Resources/1-s2.0-S1934592525003454-main.pdf	SUPPORT	SUPPORT	FULL	TRIAGED	2026-09-17
027	ezponda-2025-ct-perfusion-ffr	Resources/1-s2.0-S2173510725000217-main.pdf	BACKGROUND	BACKGROUND	LIGHT	TRIAGED	2026-09-17
028	chi-2022-multiscale-coupling	Resources/1-s2.0-S2590093522000042-main.pdf	METHOD	METHOD	FULL	TRIAGED	2026-09-17
029	chan-2024-ct-ffr-applications	Resources/1-s2.0-S2949761224001202-main.pdf	THREAT	THREAT	FULL	TRIAGED	2026-09-17
