probe_id,kind,s_mm,s_node_mm,s_from_lesion_mm,tree_node,x,y,z,normal_x,normal_y,normal_z,r_ref_mm,resolved
inlet,inlet,0.0,0.0,-19.712737527771008,0,20.6123046875,-141.0107421875,134.4499969482422,0.9454466333806835,0.2763828809274975,0.17246207281413467,1.0821926768686365,1
p000,grid,0.0,0.0,-19.712737527771008,33,31.16642189025879,-140.09561157226562,132.9499969482422,0.9399116321720405,-0.13339813288727556,-0.314278637278895,1.2445215783989318,1
p001,grid,5.0,4.973716407783504,-14.712737527771008,45,34.9384765625,-143.13650512695315,132.2869873046875,0.7630357916540924,-0.5161633827713789,-0.3890395133412795,1.2445215783989318,1
p002,lesion_prox,9.712737527771008,9.574115211153062,-10.0,55,38.1220703125,-145.74737548828125,130.2754669189453,0.6293481034496236,-0.578269876750944,-0.5191578895931468,1.2445215783989318,1
p003,grid,15.0,15.238562795986343,-4.712737527771009,65,41.30566406250001,-148.5004425048828,126.50933837890626,0.5369336133830138,-0.45271176049135387,-0.7118668110905855,1.219149261475949,1
p004,throat,19.712737527771008,19.712737527771008,0.0,73,43.53410720825195,-149.9331817626953,122.95011138916016,0.41055524042352165,-0.3932599947911303,-0.8226730645023359,1.1528802008655883,1
p005,grid,25.0,25.003181586882654,5.287262472228993,82,45.452716827392585,-152.7900390625,118.95152282714844,0.3833263012408427,-0.5111235108701448,-0.7692942892110871,1.0745209996662317,1
p006,lesion_dist,29.71273752777101,29.76992900337497,10.000000000000002,90,47.6728515625,-155.3369140625,115.6244125366211,0.3772493301446202,-0.5576814452283209,-0.7393742953021066,1.003918510404082,1
p007,grid,35.0,34.85468125145302,15.287262472228996,100,49.93196105957031,-158.52050781250003,112.40042114257812,0.4489265236211831,-0.6425172973840697,-0.6209963759569537,0.9286059052608884,1
p008,grid,40.0,39.92696093193054,20.287262472228992,110,51.81256866455079,-161.7041015625,108.94999694824219,0.35595063516071074,-0.6454412027167843,-0.6757993778956869,0.8534780370553061,1
p009,bif_prox,41.354808931104344,41.44671396917051,21.642071403333336,113,52.44719696044922,-162.65806579589844,107.9516372680664,0.41759789133433267,-0.6277272142610495,-0.6569402907640703,0.8309682755517667,1
p010,bif_dist,44.588340380321455,44.721672863633,24.875602852550443,163,53.307071685791016,-164.88050842285156,105.78851318359375,0.12819792321326653,-0.7308547639572646,-0.6703854163723854,0.9122698304607412,1
p011,measurement,49.89174407176872,49.89174407176872,30.17900654399771,175,54.13552474975586,-168.7080078125,102.44835662841797,0.15255270822324352,-0.7286071698830081,-0.6677269376091002,0.9122698304607412,1
p012,grid,55.0,55.19126806981834,35.28726247222899,185,54.613887786865234,-171.8916015625,98.27558135986328,0.16525706352535358,-0.6181197316986861,-0.7685168184494868,0.9122698304607412,1
out_160,outlet,,74.63403047622907,,160,66.4560546875,-166.1611328125,92.94999694824219,0.7728769723003204,0.322419031362948,-0.5465410816241248,0.6469259151503007,0
out_185,outlet,,66.56352434204305,,185,54.613887786865234,-171.8916015625,98.27558135986328,0.16525706352535358,-0.6181197316986861,-0.7685168184494868,0.9122698304607412,1
out_321,outlet,,76.29559202070573,,321,73.42113494873047,-144.94937133789062,88.45011138916016,0.5214516689827096,-0.03405575864036376,-0.8526009396069042,0.6054294167717015,0
out_414,outlet,,43.46523444353385,,414,45.753265380859375,-122.65695190429688,116.27558135986328,0.8268062143065518,0.17398898318454786,-0.5349012223901489,0.6185658715941345,0
out_517,outlet,,94.10191921041779,,517,66.4560546875,-124.7744140625,78.44999694824219,0.46375182262440806,-0.2013021229398195,-0.862792966077298,0.6497072929531458,0
out_643,outlet,,104.21074551594843,,643,57.8603515625,-119.0439453125,68.44999694824219,0.9947482233268271,0.09816442880138654,-0.028977872700019013,0.6732302910434911,1
