scan,side,vessel,loc,L_mm,ds_pct,bed,band_cohort,ffr_clean,flip_clean,n_outlets_clean,error_type,protocol,status,meas_same_point,n_outlets,n_outlets_shared,n_territories,info_cut_arc_mm,info_length_lost_mm,info_segments_deleted,C_clean,C,C_ratio,ffr,dFFR,flip,flip_dir,outlet_flow_residual,inflow_mls,inflow_clean_mls,converged,iters,mass_err,fit_n_basins,fit_loss_at_Cstart,fit_loss,fit_at_bound,info_length_delta_mm,info_radius_scale,info_segments_scaled,info_from_arc_mm,info_branch_r_mm,info_branch_arc_mm,info_branch_to_host_ratio
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T1_missed_branch,,skipped: no deletable downstream branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T2_truncation,A_fixed,ok,True,6.0,6.0,3.0,80.2095507497334,71.17515290668274,0.0,54.60609845356183,54.60609845356183,1.0,0.884759971759703,0.19837362833836347,1.0,to_negative,0.03389485902832721,3.7290911890408145,3.8494221994649886,True,28.0,7.1412285179465774e-12,,,,,,,,,,,
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T2_truncation,B_rederived,ok,True,6.0,6.0,3.0,80.2095507497334,71.17515290668274,0.0,54.60609845356183,54.81655308689661,1.0038540499924886,0.6838167843472794,-0.0025695590740600904,0.0,,0.003274250649055528,3.8465713869156994,3.8494221994649886,True,28.0,9.895557044174506e-12,,,,,,,,,,,
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T2_truncation,C_flowmatched,ok,True,6.0,6.0,3.0,80.2095507497334,71.17515290668274,0.0,54.60609845356183,54.708316407519355,1.001871914618556,0.6833142263026131,-0.0030721171187264584,0.0,,0.002655639108653846,3.8538978528772296,3.8494221994649886,True,28.0,1.145898476214862e-11,1.0,1.0720717312840547e-05,7.052419075411792e-06,False,,,,,,,
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T3_stenosis_length,A_fixed,ok,True,6.0,6.0,3.0,,,,54.60609845356183,54.60609845356183,1.0,0.6708627293933267,-0.015523614028012833,0.0,,0.0015221126988455155,3.8440185080437077,3.8494221994649886,True,28.0,6.543540398941727e-12,,,,,2.46,,,,,,
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T3_stenosis_length,B_rederived,ok,True,6.0,6.0,3.0,,,,54.60609845356183,54.60609845356183,1.0,0.6708627293933267,-0.015523614028012833,0.0,,0.0015221126988455155,3.8440185080437077,3.8494221994649886,True,28.0,6.543540398941727e-12,,,,,2.46,,,,,,
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T3_stenosis_length,C_flowmatched,ok,True,6.0,6.0,3.0,,,,54.60609845356183,54.55799954891194,0.999119166063644,0.6706409283397783,-0.015745415081561243,0.0,,0.0012595554238738903,3.847282310134767,3.8494221994649886,True,28.0,3.3757741525849304e-12,1.0,2.316827067986779e-06,1.5864798658101357e-06,False,2.46,,,,,,
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T4_taper,A_fixed,ok,True,6.0,6.0,3.0,,,,54.60609845356183,54.60609845356183,1.0,0.6522337168718001,-0.03415262654953943,0.0,,0.003548211775015163,3.8368256016304927,3.8494221994649886,True,28.0,7.66558819223172e-12,,,,,,0.93,1.0,35.52663793380648,,,
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T4_taper,B_rederived,ok,True,6.0,6.0,3.0,,,,54.60609845356183,54.16827426983466,0.9919821375976989,0.680578878238685,-0.005807465182654514,0.0,,0.006610371314089631,3.859133597363581,3.8494221994649886,True,28.0,1.430204798137687e-11,,,,,,0.93,1.0,35.52663793380648,,,
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T4_taper,C_flowmatched,ok,True,6.0,6.0,3.0,,,,54.60609845356183,54.42700372874268,0.9967202431616415,0.681764108761583,-0.00462223465975653,0.0,,0.004706340541027455,3.8414126560558333,3.8494221994649886,True,28.0,6.2225207005120386e-12,1.0,4.369700891013908e-05,2.21496412881186e-05,False,,0.93,1.0,35.52663793380648,,,
