scan,side,min_r4,nl_r4,l20_r4
3,left,0.9225994531859338,9,0.9621804014222788
3,right,0.946153540639716,1,0.9626722667971757
9,left,0.9419681434537562,1,0.9548574944329608
9,right,0.9164130839212956,1,0.9041260824273388
14,left,0.98088821542901,6,0.98088821542901
14,right,0.9262347722438817,0,
30,left,0.9886179863386682,2,
30,right,0.9631737500189294,1,
41,left,0.9516926544424539,6,0.9551736840130983
41,right,0.9417224384987333,3,0.9527924677618038
42,left,0.9805350582426585,1,
42,right,0.9305486608353436,2,
43,left,0.9338805450399476,4,0.9322230268350526
43,right,0.9382975023999666,0,
45,left,0.9138643072008754,1,0.9651895985889611
45,right,0.9872575805965242,0,
52,left,0.9535948644919185,3,
52,right,0.9601886398828303,2,
63,left,0.9778460812980194,1,
63,right,0.9391584762945371,0,
69,left,0.9661331037029208,1,
69,right,0.9277437554483614,5,0.9314820756577683
80,left,0.9699762877136888,0,
80,right,0.894751464369036,4,0.8895347829428228
85,left,0.9419475311021647,1,0.9350854738092378
85,right,0.9101682804860665,5,0.9627928334923664
87,left,0.9589975477116118,0,
87,right,0.965444155211108,0,
88,left,0.951645365769463,1,0.9658719478308591
88,right,0.9410020878275309,0,
95,left,0.9707081511446453,3,0.9823608377712297
95,right,0.949816053580503,0,
100,left,0.9733698553153591,4,0.9802953631291041
100,right,0.8362025065376556,4,0.9276336431167272
102,left,0.965895896486217,7,0.9839763998455436
102,right,0.9368590694281147,2,
103,left,0.9822685855982244,2,0.9779936000342567
103,right,0.9643281904812103,1,
109,left,0.9781290397273823,1,0.9853857087775318
109,right,0.8941450167589465,2,0.8948949075226542
112,left,0.9768443644450919,2,0.9780748284001137
112,right,0.9466842307223557,0,
114,left,0.9258813116608692,4,0.9334062271735493
114,right,0.9780620681642548,0,
124,left,0.9573058771990043,1,0.9675144007951557
124,right,0.9599236653880517,0,
125,left,0.9013553189090965,3,0.9477597899331519
125,right,0.9326160780513625,1,0.9470845372217994
129,left,0.9649239612152559,3,
129,right,0.9657477724363437,1,
138,left,0.9614447233571327,3,0.9614447233571327
138,right,0.9440742501049175,0,
139,left,0.9745128312151246,2,0.9827529516837462
139,right,0.9452710690784953,2,
148,left,0.8725260387480548,4,0.9728760904402763
148,right,0.9345209878356494,2,
151,left,0.9411462796062658,4,0.9411462796062658
151,right,0.9213078484430474,1,0.9402768121711051
173,left,0.9253576306098643,2,0.9253576306098643
173,right,0.94388965908902,0,
175,left,0.9595699760689939,3,0.9540444051558387
175,right,0.9250689929655096,0,
196,left,0.9758415068410331,0,
196,right,0.9393923211648565,1,0.9057766365107914
211,left,0.9645820447862915,2,
