scan,side,min_cur,min_tree,nl_cur,nl_tree,l20_cur,l20_tree
3,left,0.922599585064103,0.9228314680327092,10,7,0.962180539519482,0.9624233575559293
3,right,0.946153540639716,0.946153540639716,1,1,0.9626722667971755,0.9626722667971757
9,left,0.9419681434537562,0.9419681434537562,1,1,0.9548574944329608,0.9548574944329608
9,right,0.9164130839212956,0.9164130839212956,1,1,0.9041260824273388,0.9041260824273388
14,left,0.9808883492426907,0.9811619744058576,9,5,0.9808883492426907,0.9811619744058576
14,right,0.9262347722438816,0.9262347722438817,0,0,,
30,left,0.988618135522396,0.9886179863386682,3,2,,
30,right,0.9631737500189294,0.9631737500189294,1,1,,
41,left,0.951692654442454,0.9516775139487171,6,5,0.9551736840130984,0.9551584847063761
41,right,0.9417715914844116,0.9417224384987333,5,3,0.9528297141923888,0.9527924677618038
42,left,0.9805350582426584,0.9805350582426585,1,1,,
42,right,0.9305486608353436,0.9305486608353436,2,2,,
43,left,0.9338805450399476,0.9338805450399476,4,4,0.9322230268350526,0.9322230268350526
43,right,0.9382975023999666,0.9382975023999666,0,0,,
45,left,0.9138643072008754,0.9138643072008754,1,1,0.9651895985889613,0.9651895985889611
45,right,0.9872575805965242,0.9872575805965242,0,0,,
52,left,0.9535953246825228,0.9535948644919185,4,3,,
52,right,0.9601886398828304,0.9601886398828303,2,2,,
63,left,0.9778460812980194,0.9778460812980194,1,1,,
63,right,0.9391584762945372,0.9391584762945371,0,0,,
69,left,0.9661331037029208,0.9661331037029208,1,1,,
69,right,0.9277437554483614,0.9277437554483614,5,5,0.9314820756577684,0.9314820756577683
80,left,0.9699762877136888,0.9699762877136888,0,0,,
80,right,0.894751464369036,0.894751464369036,4,4,0.8895347829428228,0.8895347829428228
85,left,0.9403042466615582,0.9419475311021647,2,1,0.9334549109548944,0.9350854738092378
85,right,0.9101682804860664,0.9101682804860665,5,5,0.9627928334923664,0.9627928334923664
87,left,0.9589975477116118,0.9589975477116118,0,0,,
87,right,0.965444155211108,0.965444155211108,0,0,,
88,left,0.951645365769463,0.951645365769463,1,1,0.9658719478308592,0.9658719478308591
88,right,0.9410020878275308,0.9410020878275309,0,0,,
95,left,0.9707081511446451,0.9707081511446453,3,3,0.9823608377712296,0.9823608377712297
95,right,0.949816053580503,0.949816053580503,0,0,,
100,left,0.9733698553153592,0.9733698553153591,4,4,0.980295363129104,0.9802953631291041
100,right,0.8332962459240435,0.8362025065376556,5,4,0.9278537189247468,0.9276336431167272
102,left,0.9658960631068858,0.965895896486217,8,7,0.9839765697755078,0.9839763998455436
102,right,0.9368590694281148,0.9368590694281147,2,2,,
103,left,0.9822686270020358,0.9822685855982244,3,2,0.9779936412470698,0.9779936000342567
103,right,0.9643281904812104,0.9643281904812103,1,1,,
109,left,0.9781290397273824,0.9781290397273823,1,1,0.9853857087775318,0.9853857087775318
109,right,0.8941450167589465,0.8941450167589465,2,2,0.8948949075226542,0.8948949075226542
112,left,0.976844364445092,0.9768443644450919,2,2,0.9780748284001136,0.9780748284001137
112,right,0.9466842307223556,0.9466842307223557,0,0,,
114,left,0.9258813116608692,0.9258813116608692,4,4,0.9334062271735492,0.9334062271735493
114,right,0.9780620681642548,0.9780620681642548,0,0,,
124,left,0.9573058771990044,0.9573058771990043,1,1,0.9675144007951556,0.9675144007951557
124,right,0.9599236653880516,0.9599236653880517,0,0,,
125,left,0.8941423330080963,0.9013553189090965,4,3,0.9401403305194324,0.9477597899331519
125,right,0.9326160780513624,0.9326160780513625,1,1,0.9470845372217994,0.9470845372217994
129,left,0.9649242686262676,0.9649239612152559,5,3,,
129,right,0.9657477724363436,0.9657477724363437,1,1,,
138,left,0.9614447233571328,0.9614447233571327,3,3,0.9614447233571328,0.9614447233571327
138,right,0.9440742501049176,0.9440742501049175,0,0,,
139,left,0.974516578868292,0.9745128312151246,3,2,0.9827570118733138,0.9827529516837462
139,right,0.9452710690784952,0.9452710690784953,2,2,,
148,left,0.8725260387480548,0.8725260387480548,4,4,0.9728760904402765,0.9728760904402763
148,right,0.9345209878356494,0.9345209878356494,2,2,,
151,left,0.9411462796062658,0.9411461259780383,4,3,0.9411462796062658,0.9411461259780383
151,right,0.9213078484430474,0.9213078484430474,1,1,0.9402768121711051,0.9402768121711051
173,left,0.9253576306098644,0.9253576306098643,2,2,0.9253576306098644,0.9253576306098643
173,right,0.94388965908902,0.94388965908902,0,0,,
175,left,0.9595719298322092,0.9595699760689939,4,3,0.9540463442684765,0.9540444051558387
175,right,0.9250689929655096,0.9250689929655096,0,0,,
196,left,0.9758415068410332,0.9758415068410331,0,0,,
196,right,0.9393923211648564,0.9393923211648565,1,1,0.9057766365107914,0.9057766365107914
211,left,0.9645820447862916,0.9645820447862915,2,2,,
211,right,0.923254450611214,0.9232544506112139,1,1,0.930470832182208,0.9304708321822079
218,left,0.947935762532236,0.9479348920860085,6,5,0.9714863490319722,0.9714854549016624
218,right,0.9475036156559516,0.9475036156559515,1,1,0.9525728125856254,0.9525728125856254
244,left,0.959360088763114,0.9593600887631141,1,1,,
244,right,0.9585235858234044,0.9585235858234045,1,1,,
251,left,0.9711685130606064,0.971168225775487,3,2,,
251,right,0.9549388853055798,0.9549388853055798,0,0,,
252,left,0.9587404380307551,0.960071155517727,5,4,0.9576077097297708,0.9589367585505733
252,right,0.979478020048094,0.9794780200480939,2,2,,
265,left,0.9588854747506356,0.9588854747506357,0,0,,
265,right,0.9435307868951022,0.9435307868951022,1,1,0.9696344249925628,0.9696344249925629
271,left,0.9809840291739664,0.9809833251024319,3,2,0.9779937927057826,0.977993090909238
271,right,0.9414986628160876,0.9414986628160875,0,0,,
272,left,0.9212470001803412,0.9212467019070208,5,4,0.9498405888452404,0.9498402807200222
272,right,0.9683800000414304,0.968375978405528,3,2,,
273,left,0.9313658792721512,0.9313656725709767,4,4,0.9478567220207996,0.9478564340301764
273,right,0.975223763347934,0.975223763347934,0,0,,
274,left,0.9715966205810846,0.9715965085625313,5,4,,
274,right,0.9418974599805594,0.9418974599805594,0,0,,
280,left,0.9708233198696512,0.9708233198696512,4,4,0.9763303292377058,0.9763303292377058
280,right,0.950800341056074,0.9508003410560741,2,2,,
284,left,0.9740408150876136,0.9740408150876136,0,0,,
284,right,0.9497756162042876,0.9497756162042876,0,0,,
300,left,0.9259861390993792,0.9289239691275181,3,2,0.977617171781256,0.9776152401569465
300,right,0.9478735323135624,0.9478735323135625,0,0,,
306,left,0.9694186792110604,0.9697294621811173,7,6,0.982872414442544,0.9786959988445976
306,right,0.9124620206339564,0.9124620206339565,1,1,0.954566649122258,0.9545666491222581
316,left,0.9666085455586454,0.9666082442008269,6,4,0.9672526218818456,0.9672523203109796
316,right,0.9676382952645256,0.9676382952645256,0,0,,
324,left,0.932415715926936,0.933516720449168,4,3,0.9344532589451562,0.9355568218503285
324,right,0.8794454523222988,0.8794454523222988,3,3,0.9029350624970036,0.9029350624970036
328,left,0.961562162956624,0.9616894965298413,3,2,0.961562162956624,0.9616894965298413
