E0 (murray x1.0, 320 trees) under tree-wide rule vs on-disk: changed 102 trees; max |d| 0.0081; lesion terms 827 -> 659; 617s
verdict counts: in[0.70,0.90) 20  in[0.75,0.85) 4  <=0.80 2
     scan   side  min_cur  min_tree  nl_cur  nl_tree  l20_cur  l20_tree
0       3   left   0.9226    0.9228      10        7   0.9622    0.9624
4      14   left   0.9809    0.9812       9        5   0.9809    0.9812
24     85   left   0.9403    0.9419       2        1   0.9335    0.9351
33    100  right   0.8333    0.8362       5        4   0.9279    0.9276
46    125   left   0.8941    0.9014       4        3   0.9401    0.9478
72    252   left   0.9587    0.9601       5        4   0.9576    0.9589
88    300   left   0.9260    0.9289       3        2   0.9776    0.9776
90    306   left   0.9694    0.9697       7        6   0.9829    0.9787
94    324   left   0.9324    0.9335       4        3   0.9345    0.9356
96    328   left   0.9616    0.9617       3        2   0.9616    0.9617
100   341   left   0.9630    0.9644       6        4   0.9672       NaN
104   354   left   0.9743    0.9746       6        3   0.9715    0.9718
109   368  right   0.8762    0.8804       7        6   0.8760    0.8802
112   381   left   0.9541    0.9546       7        6   0.9567    0.9572
114   389   left   0.9046    0.9055       7        5   0.9118    0.9128
117   396  right   0.7580    0.7607       7        5   0.8056    0.8086
120   408   left   0.9091    0.9096       5        4   0.9323    0.9323
132   448   left   0.9522    0.9526       7        5   0.9610    0.9615
144   473   left   0.9477    0.9492       5        3   0.9580    0.9595
146   474   left   0.9641    0.9647       5        3   0.9772    0.9772
147   474  right   0.9126    0.9144       3        2   0.9117    0.9136
148   488   left   0.9578    0.9602       7        6   0.9702    0.9702
160   527   left   0.9573    0.9580       8        6   0.9680    0.9687
161   527  right   0.9504    0.9548       7        4   0.9530    0.9575
162   543   left   0.8994    0.9005       4        3   0.9262    0.9274
173   569  right   0.9184    0.9248       3        2   0.9559    0.9627
182   621   left   0.9450    0.9484       7        5   0.9450    0.9484
200   676   left   0.9319    0.9325      10        6   0.9555    0.9562
206   686   left   0.9688    0.9692       5        4   0.9578    0.9583
207   686  right   0.8609    0.8683       5        3   0.8601    0.8675
208   687   left   0.9398    0.9406       3        2   0.9663       NaN
218   738   left   0.9715    0.9724       3        2   0.9848    0.9848
228   759   left   0.9380    0.9391       4        2   0.9385    0.9395
232   773   left   0.9590    0.9611       9        4   0.9619    0.9641
234   775   left   0.9172    0.9191       6        3   0.9493    0.9512
235   775  right   0.7602    0.7683       9        7   0.8676    0.8772
248   813   left   0.9657    0.9688       4        2   0.9787       NaN
254   828   left   0.9440    0.9450       6        4   0.9541    0.9551
264   844   left   0.9732    0.9738       8        4   0.9717    0.9716
267   847  right   0.8859    0.8886       4        3   0.9322    0.9351
270   874   left   0.9526    0.9546       4        2   0.9581    0.9601
274   890   left   0.9868    0.9869       2        1   0.9926    0.9928
278   907   left   0.9553    0.9573       7        3   0.9549    0.9569
282   909   left   0.9365    0.9427       5        4   0.9259    0.9320
304   972   left   0.9660    0.9666       4        2   0.9705    0.9711
