scan,side,vessel,loc,L_mm,why
3,left,LAD,mid,10,native 43%DS >= 40
3,left,LAD,mid,20,native 43%DS >= 40
3,left,LCX,mid,10,host r_fit 0.91 mm < 1.0
3,left,LCX,mid,20,host r_fit 0.91 mm < 1.0
9,left,LAD,prox,10,host r_fit 0.71 mm < 1.0
9,left,LAD,prox,20,host r_fit 0.71 mm < 1.0
9,left,LAD,mid,10,host r_fit 0.70 mm < 1.0
9,left,LAD,mid,20,host r_fit 0.70 mm < 1.0
9,left,LCX,prox,10,host r_fit 0.79 mm < 1.0
9,left,LCX,prox,20,host r_fit 0.79 mm < 1.0
9,left,LCX,mid,10,host r_fit 0.78 mm < 1.0
9,left,LCX,mid,20,host r_fit 0.78 mm < 1.0
14,left,LCX,prox,10,host r_fit 0.95 mm < 1.0
14,left,LCX,prox,20,host r_fit 0.95 mm < 1.0
14,left,LCX,mid,10,host r_fit 0.70 mm < 1.0
14,left,LCX,mid,20,host r_fit 0.70 mm < 1.0
30,left,LAD,prox,10,measurement node unresolved
30,left,LAD,prox,20,measurement node unresolved
30,left,LAD,mid,10,host r_fit 0.73 mm < 1.0
30,left,LAD,mid,20,host r_fit 0.73 mm < 1.0
30,left,LCX,prox,10,measurement node unresolved
30,left,LCX,prox,20,measurement node unresolved
30,left,LCX,mid,10,host r_fit 0.63 mm < 1.0
30,left,LCX,mid,20,host r_fit 0.63 mm < 1.0
41,left,LAD,prox,10,measurement node unresolved
41,left,LAD,prox,20,measurement node unresolved
41,left,LAD,mid,10,host r_fit 0.64 mm < 1.0
41,left,LAD,mid,20,host r_fit 0.64 mm < 1.0
41,left,LCX,prox,10,host r_fit 0.93 mm < 1.0
41,left,LCX,prox,20,host r_fit 0.93 mm < 1.0
41,left,LCX,mid,10,host r_fit 0.62 mm < 1.0
41,left,LCX,mid,20,host r_fit 0.62 mm < 1.0
42,left,LAD,prox,10,host r_fit 0.92 mm < 1.0
42,left,LAD,prox,20,host r_fit 0.92 mm < 1.0
42,left,LAD,mid,10,host r_fit 0.70 mm < 1.0
42,left,LAD,mid,20,host r_fit 0.70 mm < 1.0
42,left,LCX,prox,10,host r_fit 0.91 mm < 1.0
42,left,LCX,prox,20,host r_fit 0.91 mm < 1.0
42,left,LCX,mid,10,host r_fit 0.80 mm < 1.0
42,left,LCX,mid,20,host r_fit 0.80 mm < 1.0
45,left,LAD,mid,10,host r_fit 0.91 mm < 1.0
45,left,LAD,mid,20,host r_fit 0.91 mm < 1.0
45,right,RCA,prox,10,host r_fit 0.76 mm < 1.0
45,right,RCA,prox,20,host r_fit 0.76 mm < 1.0
45,right,RCA,mid,10,host r_fit 0.67 mm < 1.0
45,right,RCA,mid,20,host r_fit 0.67 mm < 1.0
63,left,LAD,prox,10,host r_fit 0.89 mm < 1.0
63,left,LAD,prox,20,host r_fit 0.89 mm < 1.0
63,left,LAD,mid,10,host r_fit 0.84 mm < 1.0
63,left,LAD,mid,20,host r_fit 0.84 mm < 1.0
63,left,LCX,prox,10,measurement node unresolved
63,left,LCX,prox,20,measurement node unresolved
63,left,LCX,mid,10,host r_fit 0.72 mm < 1.0
63,left,LCX,mid,20,host r_fit 0.72 mm < 1.0
63,right,RCA,prox,10,host r_fit 0.98 mm < 1.0
63,right,RCA,prox,20,host r_fit 0.98 mm < 1.0
63,right,RCA,mid,10,host r_fit 0.97 mm < 1.0
63,right,RCA,mid,20,host r_fit 0.97 mm < 1.0
69,left,LCX,mid,10,host r_fit 0.91 mm < 1.0
69,left,LCX,mid,20,host r_fit 0.91 mm < 1.0
80,left,LAD,mid,10,host r_fit 0.78 mm < 1.0
80,left,LAD,mid,20,host r_fit 0.78 mm < 1.0
80,left,LCX,prox,10,host r_fit 0.85 mm < 1.0
80,left,LCX,prox,20,host r_fit 0.85 mm < 1.0
80,left,LCX,mid,10,host r_fit 0.76 mm < 1.0
80,left,LCX,mid,20,host r_fit 0.76 mm < 1.0
85,left,LAD,prox,10,host r_fit 0.73 mm < 1.0
85,left,LAD,prox,20,host r_fit 0.73 mm < 1.0
85,left,LAD,mid,10,host r_fit 0.71 mm < 1.0
