scan,side,bed,case,sd_lnq,range_lnq,sd_remainder,range_remainder,mean_remainder,sd_lnG,sd_lnpi,ln_inflow_over_Kr0,lnC_ratio,orphan_clean_J,orphan_corrupt_J,null_p95,null_max,n_null,branch_r_mm,rJ_mm
306,left,leaky,clean_lesion,0.2663183864260419,0.7916500924725034,0.12481960038497619,0.38349451828385545,-0.05561561014389113,0.2496864406766808,0.14280838296153228,,,,,,,,,
306,left,leaky,T1_C,0.08364255190107037,0.3931715808357139,0.07480012881787394,0.23727010909926344,-0.2659035267875514,0.06457440745930121,0.08923546941345856,-0.3262383118804643,0.047652632433974544,,,,,,,
306,left,leaky,orphan_stat,,,,,,,,,,-1.1693825379235898,-0.046861633375607045,0.006039645281454252,0.15556617450320948,287.0,1.0645663033940767,1.02433316977431
306,left,discrete,clean_lesion,0.27597116922498915,0.979123664226289,0.1267854497382624,0.4137865715175563,-0.07496404524539795,0.2812436648159629,0.14904815419241332,,,,,,,,,
306,left,discrete,T1_C,0.34759238742570997,1.2581696056452978,0.08393932096771299,0.2866468097055301,-0.2650837515973111,0.35585100573265477,0.10052481403322583,-0.3246515074415084,0.04258682964620708,,,,,,,
306,left,discrete,orphan_stat,,,,,,,,,,-1.1693825379235898,-0.046861633375607045,0.006039645281454252,0.15556617450320948,287.0,1.0645663033940767,1.02433316977431
661,left,leaky,clean_lesion,0.25317776438112616,0.7702645367305849,0.19498536553864185,0.42225975532309973,-0.14439264371167188,0.25274675037963007,0.19522314294739948,,,,,,,,,
661,left,leaky,T1_C,0.10505102018630129,0.3159179665718763,0.1355840342251572,0.2943766934636455,-0.24435030758954748,0.10454691645458626,0.1355263167427822,-0.21208378626137367,0.05904594651165641,,,,,,,
661,left,leaky,orphan_stat,,,,,,,,,,-1.1535525507568578,-0.36724006841170276,0.048660922807161354,0.19849711842096673,134.0,0.8295296894125335,0.8987389097934695
661,left,discrete,clean_lesion,0.21902717215249573,0.9871587484314084,0.24699875540539565,0.5393075253190982,-0.18452521481151246,0.2203053603686249,0.24148635937768825,,,,,,,,,
661,left,discrete,T1_C,0.1615074332609745,0.8405060763500924,0.17010546138239685,0.3749468947596208,-0.3225488035761597,0.1688221295524304,0.16246140848215768,-0.30156020790890753,0.07792271493065704,,,,,,,
661,left,discrete,orphan_stat,,,,,,,,,,-1.1535525507568578,-0.36724006841170276,0.048660922807161354,0.19849711842096673,134.0,0.8295296894125335,0.8987389097934695
690,left,leaky,clean_lesion,0.15465487494461966,0.3326020878988939,0.1698587537918689,0.4173571856114368,-0.08906141771102616,0.14905849336445706,0.17334458705904338,,,,,,,,,
690,left,leaky,T1_C,0.09836154496649308,0.2665083170332262,0.1219153925185019,0.3016769756903778,-0.25873228277712773,0.09369262916185545,0.12517920352188577,-0.2874130370901661,0.14801742816959929,,,,,,,
690,left,leaky,orphan_stat,,,,,,,,,,-0.19395899958312404,0.18180769923551598,0.011164427707883222,0.014212850881659288,190.0,0.9104454311333376,1.2616759491897607
690,left,discrete,clean_lesion,0.19605379498376438,0.6975170688652619,0.2892291404052935,0.7379968826449427,-0.14054754732058253,0.20529444496244867,0.2966353816610575,,,,,,,,,
690,left,discrete,T1_C,0.30505525829896774,0.8992414521259553,0.20645997533745716,0.5383576996028158,-0.33909330819536443,0.31128031478435364,0.21063174164156892,-0.5027739430054405,0.09773254503788602,,,,,,,
690,left,discrete,orphan_stat,,,,,,,,,,-0.19395899958312404,0.18180769923551598,0.011164427707883222,0.014212850881659288,190.0,0.9104454311333376,1.2616759491897607
196,left,leaky,clean_lesion,0.22761840017955653,0.5606071497164158,0.17898727774726916,0.39321685879914614,-0.11015336220650046,0.22434975259249318,0.180783147844798,,,,,,,,,
196,left,leaky,T1_C,0.06490560874299724,0.22022540918936606,0.09620548613931593,0.21297882914068722,-0.5737178332984496,0.06282052332237592,0.0973561380952638,-0.7187804010372059,0.18598460231641006,,,,,,,
196,left,leaky,orphan_stat,,,,,,,,,,-0.637675394224422,-0.14325882675210105,0.011291285011414482,0.013395964564567063,146.0,0.8269898191538665,1.045849415564303
196,left,discrete,clean_lesion,0.16210669772264547,0.5449376850543587,0.17610517456629507,0.39203896105742625,-0.12250857623833883,0.15926742551847967,0.17814877900244394,,,,,,,,,
196,left,discrete,T1_C,0.11689051375373787,0.5252022559317557,0.08535105716578212,0.19517181774573056,-0.6693284315996705,0.11714756031673196,0.08545966764415307,-0.7980079429854682,0.21206956457724285,,,,,,,
196,left,discrete,orphan_stat,,,,,,,,,,-0.637675394224422,-0.14325882675210105,0.011291285011414482,0.013395964564567063,146.0,0.8269898191538665,1.045849415564303
659,left,leaky,clean_lesion,0.07589824983359499,0.4284737472067017,0.19675273816265593,0.42774248929705194,-0.17195393388272603,0.08032908530852294,0.21262240036037786,,,,,,,,,
659,left,leaky,T1_C,0.08934535677052853,0.4281815016732004,0.15623929129249312,0.3373147065082657,-0.29662011429600826,0.09565753815957463,0.17023792581685548,-0.25620543167871584,0.14652396855363156,,,,,,,
659,left,leaky,orphan_stat,,,,,,,,,,-0.08836783372526394,0.4395425377685641,0.006794827341703756,0.013510936302267853,89.0,0.8510237221273279,1.0529835858120709
659,left,discrete,clean_lesion,0.14760828435366585,0.49986770916899664,0.3437100615477091,0.7201073417867584,-0.28931635018944385,0.144418775361701,0.3417628608590358,,,,,,,,,
659,left,discrete,T1_C,0.33580393390477375,0.9637440960945475,0.19654377554522143,0.414097610977126,-0.4590475804846162,0.3359482714791049,0.19672830970874172,-0.4492621920048569,0.0967834498412737,,,,,,,
659,left,discrete,orphan_stat,,,,,,,,,,-0.08836783372526394,0.4395425377685641,0.006794827341703756,0.013510936302267853,89.0,0.8510237221273279,1.0529835858120709
754,left,leaky,clean_lesion,0.2516794918202502,0.5813863492802842,0.14447465069689763,0.40122106201235114,-0.11883822312940569,0.23639404802678066,0.1979354357024206,,,,,,,,,
754,left,leaky,T1_C,0.16071478871222478,0.3613011117848125,0.11073932427773003,0.3118389688894575,-0.14352491645693272,0.14221516913690976,0.15484481860677207,-0.10339459468634134,0.01389546127064242,,,,,,,
754,left,leaky,orphan_stat,,,,,,,,,,-0.6630174212230614,-0.3148673812969763,0.026374811180341788,0.3803291705462497,211.0,0.7887192315080698,1.1211583283043534
754,left,discrete,clean_lesion,0.20999189692948048,0.7466044667635459,0.3048938517310677,0.8289018994097411,-0.30637995132107004,0.30138786306377485,0.4072785554126164,,,,,,,,,
754,left,discrete,T1_C,0.1756822002057714,0.7466044667640062,0.19534184435782048,0.5544484357189644,-0.4204655274774083,0.291533278609669,0.275264415932871,-0.41837874253353624,0.0610074732402529,,,,,,,
754,left,discrete,orphan_stat,,,,,,,,,,-0.6630174212230614,-0.3148673812969763,0.026374811180341788,0.3803291705462497,211.0,0.7887192315080698,1.1211583283043534
42,right,leaky,clean_lesion,0.16418042013845568,0.8399814304787772,0.134835042416479,0.433131488806007,-0.030303585838751538,0.16593335045067964,0.14508779086444962,,,,,,,,,
42,right,leaky,T1_C,0.04969360139747976,0.39351478134102225,0.06738509515417497,0.21780500747206477,-0.5735735010491074,0.05483200749362563,0.0747850087619574,-0.7358109702747574,0.22370665205269585,,,,,,,
42,right,leaky,orphan_stat,,,,,,,,,,-1.0642363695794155,-0.05302526793957461,0.022921079177872224,0.029707900828925132,282.0,0.9609154096326558,0.957351043504525
42,right,discrete,clean_lesion,0.21696664462021695,0.9576539827685321,0.15657091951914395,0.5191061379368587,-0.028331340430976487,0.21630900809059092,0.1560320303606294,,,,,,,,,
42,right,discrete,T1_C,0.28508288711229834,1.3353830954698522,0.08294413227265804,0.2796733105797202,-0.5886179862952551,0.28506562438580746,0.08293231546606512,-0.7951643004002968,0.23881105341410686,,,,,,,
42,right,discrete,orphan_stat,,,,,,,,,,-1.0642363695794155,-0.05302526793957461,0.022921079177872224,0.029707900828925132,282.0,0.9609154096326558,0.957351043504525
69,right,leaky,clean_lesion,0.0065145983907922665,0.020257388510224406,0.14771163772458995,0.5004109716277934,-0.0463638033494512,0.0,0.1496509157215274,,,,,,,,,
69,right,discrete,clean_lesion,0.6389591563399605,2.0846338053051943,0.15269682764137904,0.6443777597387013,-0.10387499516470287,0.6207343292277853,0.14375764562659926,,,,,,,,,
341,right,leaky,clean_lesion,0.07706697063980703,0.32729526303670153,0.14513939472691748,0.41979141571961676,-0.05815263867699663,0.09014362903831971,0.1600313477361043,,,,,,,,,
341,right,leaky,T1_C,0.19822127278628943,0.8443068498944836,0.689612346657888,2.3229730573392233,2.051859671991148,0.09014362903831971,0.8961324248823168,0.7581495278081278,-2.5695813086005654,,,,,,,
341,right,leaky,orphan_stat,,,,,,,,,,0.07721372761002776,0.4660670786232208,0.019717170071045703,0.028817517959966135,301.0,1.0463585484473577,1.4335689240738878
341,right,discrete,clean_lesion,0.49154484380967156,1.964742287486033,0.16015212483405913,0.4822198974473309,-0.13552181855116513,0.505552758826839,0.16481446205866307,,,,,,,,,
341,right,discrete,T1_C,0.6636986051514924,2.4128662257158795,0.06778157218302723,0.23374935915532447,-0.7963896195671407,0.6636986051468811,0.06778157218378453,-0.9480865298671194,0.34411775685942064,,,,,,,
341,right,discrete,orphan_stat,,,,,,,,,,0.07721372761002776,0.4660670786232208,0.019717170071045703,0.028817517959966135,301.0,1.0463585484473577,1.4335689240738878
