cut_mm,scan,side,ok,n_outlets,single_outlet,n_slots,n_slots_with_deletable
0.6,3,left,True,6,False,4,2
0.6,3,right,True,2,False,4,4
0.6,14,left,True,6,False,4,2
0.6,42,right,True,3,False,4,4
0.6,43,left,True,8,False,8,6
0.6,45,left,True,9,False,6,6
0.6,52,left,True,8,False,8,8
0.6,69,left,True,4,False,6,2
0.6,69,right,True,2,False,4,4
0.6,85,right,True,1,True,4,0
0.6,87,right,True,1,True,4,0
0.6,88,right,True,2,False,4,4
0.6,95,left,True,6,False,4,4
0.6,95,right,True,1,True,4,0
0.6,102,left,True,6,False,6,3
0.6,112,right,True,1,True,4,0
0.6,125,right,True,3,False,4,4
0.6,129,left,True,6,False,5,5
0.6,138,left,True,5,False,4,2
0.6,139,right,True,2,False,4,4
0.6,151,left,True,7,False,8,8
0.6,196,left,True,3,False,2,2
0.6,211,left,True,5,False,4,4
0.6,211,right,True,2,False,4,4
0.6,244,left,True,3,False,2,0
0.6,252,left,True,4,False,2,2
0.6,272,left,True,6,False,0,0
0.6,272,right,True,3,False,4,4
0.6,273,left,True,7,False,8,6
0.6,274,left,True,6,False,4,0
0.6,280,left,True,6,False,2,0
0.6,306,left,True,6,False,6,4
0.6,324,left,True,6,False,5,3
0.6,324,right,True,4,False,2,2
0.6,328,left,True,5,False,4,4
0.6,335,left,True,4,False,8,2
0.6,335,right,True,2,False,4,4
0.6,341,right,True,3,False,4,4
0.6,363,right,True,1,True,2,0
0.6,368,left,True,6,False,8,4
0.6,406,left,True,4,False,2,0
0.6,423,right,True,2,False,4,4
0.6,448,right,True,2,False,4,4
0.6,461,left,True,6,False,5,5
0.6,465,right,True,2,False,4,4
0.6,466,left,True,4,False,4,0
0.6,466,right,True,2,False,4,4
0.6,473,left,True,6,False,2,2
0.6,473,right,True,2,False,4,4
0.6,488,left,True,5,False,2,0
0.6,496,right,True,2,False,4,4
0.6,509,left,True,7,False,4,4
0.6,512,right,True,2,False,4,4
0.6,544,left,True,4,False,4,2
0.6,544,right,True,2,False,4,4
0.6,546,right,True,2,False,2,2
0.6,549,left,True,4,False,2,1
0.6,569,left,True,6,False,4,0
0.6,580,left,True,5,False,4,4
0.6,593,left,True,5,False,2,2
0.6,616,right,True,2,False,4,4
0.6,618,left,True,7,False,6,6
0.6,621,left,True,9,False,8,4
0.6,621,right,True,3,False,4,4
0.6,625,right,True,3,False,4,4
0.6,659,left,True,6,False,3,1
0.6,661,left,True,6,False,4,4
0.6,667,left,True,6,False,6,5
0.6,669,left,True,6,False,3,3
0.6,675,right,True,2,False,4,4
0.6,683,right,True,2,False,4,4
0.6,690,left,True,5,False,4,4
0.6,698,left,True,5,False,6,3
0.6,725,right,True,2,False,4,4
0.6,727,left,True,3,False,2,0
0.6,738,left,True,6,False,2,2
0.6,751,left,True,6,False,6,2
0.6,754,left,True,6,False,6,4
0.6,757,left,True,6,False,8,6
0.6,758,left,True,5,False,6,4
0.6,768,right,True,2,False,1,1
0.6,789,left,True,5,False,2,0
0.6,806,left,True,5,False,8,8
0.6,808,left,True,4,False,6,4
