scan,side,cut_mm,ok,n_outlets,single_outlet,n_slots,n_slots_with_deletable
3,left,0.6,True,6,False,4,2
3,left,0.75,True,3,False,4,1
3,left,1.0,True,2,False,0,0
3,right,0.6,True,2,False,4,4
3,right,0.75,True,1,True,4,0
3,right,1.0,True,1,True,4,0
14,left,0.6,True,6,False,4,2
14,left,0.75,True,4,False,4,0
14,left,1.0,True,3,False,0,0
42,right,0.6,True,3,False,4,4
42,right,0.75,True,2,False,4,4
42,right,1.0,True,1,True,4,0
43,left,0.6,True,8,False,8,6
43,left,0.75,True,7,False,8,6
43,left,1.0,True,3,False,6,2
45,left,0.6,True,9,False,6,6
45,left,0.75,True,6,False,6,4
45,left,1.0,True,3,False,2,1
52,left,0.6,True,8,False,8,8
52,left,0.75,True,7,False,8,8
52,left,1.0,True,3,False,5,0
69,left,0.6,True,4,False,6,2
69,left,0.75,True,4,False,6,2
69,left,1.0,True,2,False,2,0
69,right,0.6,True,2,False,4,4
69,right,0.75,True,2,False,4,4
69,right,1.0,True,2,False,4,4
85,right,0.6,True,1,True,4,0
85,right,0.75,True,1,True,4,0
85,right,1.0,True,1,True,1,0
87,right,0.6,True,1,True,4,0
87,right,0.75,True,1,True,4,0
87,right,1.0,True,1,True,3,0
88,right,0.6,True,2,False,4,4
88,right,0.75,True,1,True,4,0
88,right,1.0,True,1,True,2,0
95,left,0.6,True,6,False,4,4
95,left,0.75,True,6,False,4,4
95,left,1.0,True,2,False,0,0
95,right,0.6,True,1,True,4,0
95,right,0.75,True,1,True,4,0
95,right,1.0,True,1,True,4,0
102,left,0.6,True,6,False,6,3
102,left,0.75,True,6,False,6,3
102,left,1.0,True,5,False,4,1
112,right,0.6,True,1,True,4,0
112,right,0.75,True,1,True,4,0
112,right,1.0,True,1,True,3,0
125,right,0.6,True,3,False,4,4
125,right,0.75,True,3,False,4,4
125,right,1.0,True,1,True,4,0
129,left,0.6,True,6,False,5,5
129,left,0.75,True,6,False,5,5
129,left,1.0,True,3,False,3,0
138,left,0.6,True,5,False,4,2
138,left,0.75,True,5,False,4,2
138,left,1.0,True,2,False,4,0
139,right,0.6,True,2,False,4,4
139,right,0.75,True,2,False,4,4
139,right,1.0,True,1,True,4,0
151,left,0.6,True,7,False,8,8
151,left,0.75,True,7,False,8,8
151,left,1.0,True,4,False,8,4
196,left,0.6,True,3,False,2,2
196,left,0.75,True,3,False,2,2
196,left,1.0,True,1,True,2,0
211,left,0.6,True,5,False,4,4
211,left,0.75,True,2,False,4,0
211,left,1.0,True,2,False,2,0
211,right,0.6,True,2,False,4,4
211,right,0.75,True,1,True,4,0
211,right,1.0,True,1,True,4,0
244,left,0.6,True,3,False,2,0
244,left,0.75,True,3,False,2,0
244,left,1.0,True,2,False,0,0
252,left,0.6,True,4,False,2,2
