run_id,terr_id,root_node,root_xyz_mm,Q_target_mls,Q_achieved_mls,residual,sum_w,n_nodes,n_outlets,contains_lesion,contains_error
102_left_LAD_mid_20mm_80ds_leaky_clean_none,0,18,38.6217;-179.7424;-19.0947,0.8432843401906375,0.8432843401906375,0.0,4.11529586551508e-09,243,2,False,False
102_left_LAD_mid_20mm_80ds_leaky_clean_none,1,89,38.9486;-180.0508;-18.2051,0.9544673837822645,0.9544673837822645,0.0,4.693208464661295e-09,44,1,False,False
102_left_LAD_mid_20mm_80ds_leaky_clean_none,2,133,38.5189;-180.6786;-17.6696,2.051670475468349,2.051670475468349,0.0,1.0513429510495343e-08,433,3,True,False
102_left_LAD_mid_20mm_80ds_leaky_T2_truncation_A_fixed,0,18,38.6217;-179.7424;-19.0947,0.8432843401906375,0.8433396256003712,6.555963048155038e-05,4.115295865515081e-09,243,2,False,False
102_left_LAD_mid_20mm_80ds_leaky_T2_truncation_A_fixed,1,89,38.9486;-180.0508;-18.2051,0.9544673837822645,0.9545296249758928,6.52103934464888e-05,4.693208464661295e-09,44,1,False,False
102_left_LAD_mid_20mm_80ds_leaky_T2_truncation_A_fixed,2,133,38.5189;-180.6786;-17.6696,2.051670475468349,1.9312219384379203,-0.05870754512999127,1.0578194396927735e-08,307,3,True,True
102_left_LAD_mid_20mm_80ds_leaky_T2_truncation_B_rederived,0,18,38.6217;-179.7424;-19.0947,0.8432843401906375,0.8400817179812311,-0.0037977963739755354,4.115295865515081e-09,243,2,False,False
102_left_LAD_mid_20mm_80ds_leaky_T2_truncation_B_rederived,1,89,38.9486;-180.0508;-18.2051,0.9544673837822645,0.9508875940539466,-0.00375056265844536,4.693208464661295e-09,44,1,False,False
102_left_LAD_mid_20mm_80ds_leaky_T2_truncation_B_rederived,2,133,38.5189;-180.6786;-17.6696,2.051670475468349,2.055602074842458,0.0019162918320065935,1.0578194396927735e-08,307,3,True,True
102_left_LAD_mid_20mm_80ds_leaky_T2_truncation_C_flowmatched,0,18,38.6217;-179.7424;-19.0947,0.8432843401906375,0.8417230912585285,-0.0018513908745845336,4.115295865515081e-09,243,2,False,False
102_left_LAD_mid_20mm_80ds_leaky_T2_truncation_C_flowmatched,1,89,38.9486;-180.0508;-18.2051,0.9544673837822645,0.9527223052888779,-0.0018283270052364387,4.693208464661295e-09,44,1,False,False
102_left_LAD_mid_20mm_80ds_leaky_T2_truncation_C_flowmatched,2,133,38.5189;-180.6786;-17.6696,2.051670475468349,2.0594524562856606,0.0037929974186207468,1.0578194396927735e-08,307,3,True,True
102_left_LAD_mid_20mm_80ds_leaky_T3_stenosis_length_A_fixed,0,18,38.6217;-179.7424;-19.0947,0.8432843401906375,0.8432868228864382,2.9440790993020206e-06,4.115295865515081e-09,243,2,False,False
102_left_LAD_mid_20mm_80ds_leaky_T3_stenosis_length_A_fixed,1,89,38.9486;-180.0508;-18.2051,0.9544673837822645,0.9544701788416028,2.9283969110208905e-06,4.693208464661295e-09,44,1,False,False
102_left_LAD_mid_20mm_80ds_leaky_T3_stenosis_length_A_fixed,2,133,38.5189;-180.6786;-17.6696,2.051670475468349,2.0462615062905134,-0.0026363732590151427,1.0513429510495343e-08,433,3,True,False
102_left_LAD_mid_20mm_80ds_leaky_T3_stenosis_length_B_rederived,0,18,38.6217;-179.7424;-19.0947,0.8432843401906375,0.8432868228864382,2.9440790993020206e-06,4.115295865515081e-09,243,2,False,False
102_left_LAD_mid_20mm_80ds_leaky_T3_stenosis_length_B_rederived,1,89,38.9486;-180.0508;-18.2051,0.9544673837822645,0.9544701788416028,2.9283969110208905e-06,4.693208464661295e-09,44,1,False,False
102_left_LAD_mid_20mm_80ds_leaky_T3_stenosis_length_B_rederived,2,133,38.5189;-180.6786;-17.6696,2.051670475468349,2.0462615062905134,-0.0026363732590151427,1.0513429510495343e-08,433,3,True,False
102_left_LAD_mid_20mm_80ds_leaky_T3_stenosis_length_C_flowmatched,0,18,38.6217;-179.7424;-19.0947,0.8432843401906375,0.8440210083480362,0.0008735703039762045,4.115295865515081e-09,243,2,False,False
102_left_LAD_mid_20mm_80ds_leaky_T3_stenosis_length_C_flowmatched,1,89,38.9486;-180.0508;-18.2051,0.9544673837822645,0.9552907529575825,0.0008626477858837796,4.693208464661295e-09,44,1,False,False
102_left_LAD_mid_20mm_80ds_leaky_T3_stenosis_length_C_flowmatched,2,133,38.5189;-180.6786;-17.6696,2.051670475468349,2.0479705488161604,-0.0018033727620631133,1.0513429510495343e-08,433,3,True,False
102_left_LAD_mid_20mm_80ds_leaky_T4_taper_A_fixed,0,18,38.6217;-179.7424;-19.0947,0.8432843401906375,0.8432901276270595,6.8629715342435885e-06,4.115295865515081e-09,243,2,False,False
102_left_LAD_mid_20mm_80ds_leaky_T4_taper_A_fixed,1,89,38.9486;-180.0508;-18.2051,0.9544673837822645,0.9544738993722437,6.8264144903546555e-06,4.693208464661295e-09,44,1,False,False
102_left_LAD_mid_20mm_80ds_leaky_T4_taper_A_fixed,2,133,38.5189;-180.6786;-17.6696,2.051670475468349,2.039061574601779,-0.006145675447072982,1.0356283936254247e-08,433,3,True,False
102_left_LAD_mid_20mm_80ds_leaky_T4_taper_B_rederived,0,18,38.6217;-179.7424;-19.0947,0.8432843401906375,0.850024145382042,0.007992328174718476,4.115295865515081e-09,243,2,False,False
102_left_LAD_mid_20mm_80ds_leaky_T4_taper_B_rederived,1,89,38.9486;-180.0508;-18.2051,0.9544673837822645,0.9619993928763088,0.007891321612475851,4.693208464661295e-09,44,1,False,False
102_left_LAD_mid_20mm_80ds_leaky_T4_taper_B_rederived,2,133,38.5189;-180.6786;-17.6696,2.051670475468349,2.0471100590500373,-0.0022227821050408913,1.0356283936254247e-08,433,3,True,False
102_left_LAD_mid_20mm_80ds_leaky_T4_taper_C_flowmatched,0,18,38.6217;-179.7424;-19.0947,0.8432843401906375,0.8460338529366692,0.0032604812101814204,4.115295865515081e-09,243,2,False,False
102_left_LAD_mid_20mm_80ds_leaky_T4_taper_C_flowmatched,1,89,38.9486;-180.0508;-18.2051,0.9544673837822645,0.9575403711545195,0.003219583428904351,4.693208464661295e-09,44,1,False,False
102_left_LAD_mid_20mm_80ds_leaky_T4_taper_C_flowmatched,2,133,38.5189;-180.6786;-17.6696,2.051670475468349,2.037838431940741,-0.006741844605650163,1.0356283936254247e-08,433,3,True,False
102_left_LAD_mid_20mm_80ds_discrete_clean_none,0,18,38.6217;-179.7424;-19.0947,1.3844511733018794,1.3844511733018794,0.0,7.057401691060314e-09,213,2,False,False
102_left_LAD_mid_20mm_80ds_discrete_clean_none,1,89,38.9486;-180.0508;-18.2051,0.5523388863930233,0.5523388863930233,0.0,2.7848656329200856e-09,41,1,False,False
102_left_LAD_mid_20mm_80ds_discrete_clean_none,2,133,38.5189;-180.6786;-17.6696,1.382821992701449,1.382821992701449,0.0,9.777494118677008e-09,409,3,True,False
102_left_LAD_mid_20mm_80ds_discrete_T2_truncation_A_fixed,0,18,38.6217;-179.7424;-19.0947,1.3844511733018794,1.3846971306302192,0.0001776569178335056,7.057401691060314e-09,213,2,False,False
